product_id,category_code,brand
1004833,electronics.smartphone,samsung
1801766,electronics.video.tv,artel
1005115,electronics.smartphone,apple
1801689,electronics.video.tv,samsung
1005100,electronics.smartphone,samsung
1004839,electronics.smartphone,oppo
1004863,electronics.smartphone,samsung
3601527,appliances.kitchen.washer,samsung
4804301,electronics.audio.headphone,xiaomi
21401209,electronics.clocks,casio
18200055,electronics.audio.acoustic,sony
1005221,electronics.smartphone,xiaomi
1801805,electronics.video.tv,artel
3100491,appliances.kitchen.blender,polaris
1003879,electronics.smartphone,huawei
1003800,electronics.smartphone,apple
21401211,electronics.clocks,casio
1005160,electronics.smartphone,xiaomi
1004742,electronics.smartphone,honor
1004785,electronics.smartphone,huawei
1004856,electronics.smartphone,samsung
3601278,appliances.kitchen.washer,bosch
1004836,electronics.smartphone,samsung
3701261,appliances.environment.vacuum,xiaomi
3601603,appliances.kitchen.washer,lg
1004788,electronics.smartphone,xiaomi
1480558,computers.desktop,netechnics
1802037,electronics.video.tv,lg
1005124,electronics.smartphone,apple
21400321,electronics.clocks,casio
1005253,electronics.smartphone,xiaomi
1004797,electronics.smartphone,xiaomi
1002544,electronics.smartphone,apple
3200391,appliances.kitchen.meat_grinder,moulinex
1005135,electronics.smartphone,apple
1005169,electronics.smartphone,samsung
5801388,electronics.audio.subwoofer,pioneer
1480492,computers.desktop,acer
6800584,computers.components.hdd,seagate
1004840,electronics.smartphone,huawei
1307140,computers.notebook,acer
1004792,electronics.smartphone,xiaomi
5200134,computers.ebooks,pocketbook
12600018,appliances.kitchen.grill,delonghi
1005212,electronics.smartphone,samsung
4804660,electronics.audio.headphone,xiaomi
14300017,electronics.audio.music_tools.piano,cortland
1306639,computers.notebook,lenovo
18300021,accessories.bag,portcase
1004433,electronics.smartphone,samsung
1005098,electronics.smartphone,samsung
1480238,computers.desktop,lenovo
1306894,computers.notebook,hp
1004565,electronics.smartphone,huawei
1004767,electronics.smartphone,samsung
3200535,appliances.kitchen.meat_grinder,scarlett
1005119,electronics.smartphone,apple
1307350,computers.notebook,acer
1801581,electronics.video.tv,yasin
1005006,electronics.smartphone,xiaomi
1004434,electronics.smartphone,samsung
1003306,electronics.smartphone,apple
5100572,electronics.clocks,apple
3200432,appliances.kitchen.meat_grinder,moulinex
1004870,electronics.smartphone,samsung
1004834,electronics.smartphone,samsung
4802921,electronics.audio.headphone,razer
1004903,electronics.smartphone,huawei
3601423,appliances.kitchen.washer,candy
1005166,electronics.smartphone,xiaomi
8800093,electronics.telephone,nokia
4804056,electronics.audio.headphone,apple
8700352,appliances.personal.hair_cutter,philips
4600483,appliances.kitchen.dishwasher,hansa
1004905,electronics.smartphone,huawei
1307061,computers.notebook,asus
1004813,electronics.smartphone,honor
1005102,electronics.smartphone,xiaomi
1005158,electronics.smartphone,xiaomi
3701387,appliances.environment.vacuum,dauscher
5000121,appliances.sewing_machine,janome
12600013,appliances.kitchen.grill,tefal
5100855,electronics.clocks,apple
1801739,electronics.video.tv,samsung
11600404,computers.desktop,microlab
1201504,electronics.tablet,samsung
3901012,appliances.environment.water_heater,teploross
11200345,appliances.personal.scales,polaris
1004838,electronics.smartphone,oppo
1005235,electronics.smartphone,oppo
3701495,appliances.environment.vacuum,dauscher
1004873,electronics.smartphone,samsung
4804294,electronics.audio.headphone,meizu
1003489,electronics.smartphone,huawei
1306239,computers.notebook,hp
1801849,electronics.video.tv,samsung
1004872,electronics.smartphone,samsung
3700787,appliances.environment.vacuum,samsung
1005159,electronics.smartphone,xiaomi
6301732,appliances.kitchen.kettle,smeg
1005008,electronics.smartphone,xiaomi
1002525,electronics.smartphone,apple
1005038,electronics.smartphone,google
1004749,electronics.smartphone,samsung
3700412,appliances.environment.vacuum,thomas
1003901,electronics.smartphone,xiaomi
1005107,electronics.smartphone,apple
1306951,computers.notebook,apple
2501932,appliances.kitchen.oven,scarlett
1005105,electronics.smartphone,apple
2501719,appliances.kitchen.oven,hansa
46900032,accessories.bag,dometic
6701217,computers.components.videocards,asus
1306208,computers.notebook,lenovo
3601485,appliances.kitchen.washer,lg
1005161,electronics.smartphone,xiaomi
3200478,appliances.kitchen.meat_grinder,redmond
3600287,appliances.kitchen.washer,indesit
1004849,electronics.smartphone,huawei
1005067,electronics.smartphone,samsung
6200685,appliances.environment.air_heater,oasis
1801690,electronics.video.tv,samsung
1005129,electronics.smartphone,apple
1005116,electronics.smartphone,apple
1801306,electronics.video.tv,haier
1005230,electronics.smartphone,apple
4501159,appliances.kitchen.hob,hotpoint-ariston
5000027,appliances.sewing_machine,toyota
1005064,electronics.smartphone,xiaomi
1005003,electronics.smartphone,huawei
3700926,appliances.environment.vacuum,samsung
5100719,electronics.clocks,samsung
1004258,electronics.smartphone,apple
1004249,electronics.smartphone,apple
4400478,appliances.kitchen.coffee_machine,vitek
1004243,electronics.smartphone,apple
1307338,computers.notebook,asus
4804295,electronics.audio.headphone,xiaomi
1802039,electronics.video.tv,sony
1307188,computers.notebook,hp
1005171,electronics.smartphone,samsung
5000356,appliances.sewing_machine,janome
1306535,computers.notebook,xiaomi
1002629,electronics.smartphone,apple
5100748,electronics.clocks,canyon
1005126,electronics.smartphone,apple
2500925,appliances.kitchen.oven,polaris
1004659,electronics.smartphone,samsung
2900090,appliances.kitchen.microwave,samsung
4803878,electronics.audio.headphone,xiaomi
1003936,electronics.smartphone,xiaomi
1306214,computers.notebook,asus
3601437,appliances.kitchen.washer,lg
1004874,electronics.smartphone,samsung
5100574,electronics.clocks,apple
1002535,electronics.smartphone,apple
3600159,appliances.kitchen.washer,electrolux
1005167,electronics.smartphone,xiaomi
1306931,computers.notebook,hp
1005168,electronics.smartphone,samsung
3801170,appliances.iron,redmond
1005215,electronics.smartphone,samsung
1005019,electronics.smartphone,nokia
1004781,electronics.smartphone,huawei
21405810,electronics.clocks,casio
1307315,computers.notebook,hp
1480714,computers.desktop,pulser
4400325,appliances.kitchen.coffee_machine,philips
1005217,electronics.smartphone,xiaomi
1801704,electronics.video.tv,samsung
1005239,electronics.smartphone,xiaomi
5100566,electronics.clocks,apple
1480137,computers.desktop,neo
1304297,computers.notebook,apple
18900036,electronics.camera.photo,canon
4803879,electronics.audio.headphone,xiaomi
1005106,electronics.smartphone,apple
1004857,electronics.smartphone,samsung
4804718,electronics.audio.headphone,apple
1004829,electronics.smartphone,gionee
1004875,electronics.smartphone,samsung
1005173,electronics.smartphone,samsung
5100718,electronics.clocks,samsung
5800126,electronics.audio.subwoofer,mystery
4803981,electronics.audio.headphone,huawei
